institution,program
University of Manitoba,Accounting
University of Winnipeg,Accounting
North Island College,Accounting
St. Francis Xavier University,Accounting
Wilfrid Laurier University,Accounting
Langara College,Accounting
University of Regina,Accounting
University of British Columbia - Okanagan Campus,Accounting
Cape Breton University,Accounting
St. Francis Xavier University,Accounting
University of Manitoba,Actuarial mathematics
Wilfrid Laurier University,Administration and Finance
Trinity Western University,Administration
MacEwan University,Applied International Business and Supply Chain Management
Georgian College  ,Automotive Management
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA)  Co-op
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA)  Co-op
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA)  Co-op
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA)  Co-op
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA)  Co-op
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA)  Co-op
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA)  Co-op
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA)  Co-op
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA)  Co-op
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA) Internships
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA) Internships
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA) Internships
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA) Internships
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA) Internships
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA) Internships
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA) Internships
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA) Internships
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA) Internships
Northern Alberta Institute of Technology (NAIT),Bachelor of Business Administration - Accounting
Northern Alberta Institute of Technology (NAIT),Bachelor of Business Administration - Entrepreneurship
Northern Alberta Institute of Technology (NAIT),Bachelor of Business Administration - Finance
Northern Alberta Institute of Technology (NAIT),Bachelor of Business Administration - Human Resources Management
Northern Alberta Institute of Technology (NAIT),Bachelor of Business Administration - Management
Northern Alberta Institute of Technology (NAIT),Bachelor of Business Administration - Marketing
Wilfrid Laurier University,Business & Math
Trinity Western University,Business - Computer Science
Lakehead University,Business Administration - Accounting
Mount Saint Vincent University,Business Administration - Accounting
Memorial University of Newfoundland,Business Administration - Accounting
Thompson Rivers University,Business Administration - Accounting
University of Northern British Columbia,Business Administration - Accounting
Kwantlen Polytechnic University,Business Administration - Accounting
Trinity Western University,Business Administration - Accounting
MacEwan University,Business Administration - Accounting
Brock University,Business Administration - Accounting
Brock University,Business Administration - Finance
Mount Saint Vincent University,Business Administration - Finance
Brock University,Business Administration - General Management
Brock University,Business Administration - Human Resources Management
Mount Saint Vincent University,Business Administration - Management
Mount Saint Vincent University,Business Administration - Marketing
Brock University,Business Administration - Marketing
University of New Brunswick - Saint John Campus,Business Administration
Brock University,Business Administration
University of Toronto,Business Administration
Providence University College,Business Administration
University of Prince Edward Island,Business Administration
Okanagan College ,Business Administration
Crandall University,Business Administration
Cape Breton University,Business Administration
Acadia University,Business Administration
University of New Brunswick - Fredericton Campus,Business Administration
St. Francis Xavier University,Business Administration
Royal Roads University,Business administration
University of Toronto,Business and Humanities
University of Toronto,Business and Information Technology
University of Toronto,Business and Life Sciences
University of Toronto,Business and Physical Sciences
University of Toronto,Business and Social Sciences
Brock University,Business Economics
Lakehead University,Business Finance
Langara College,Business Management
Seneca College,Business Management
University of Calgary,Business Process Management
Toronto Metropolitan University (formerly Ryerson University) ,Business Technology Management
Trinity Western University,Business
Bishop's University,Business
Medicine Hat College,Business
University of Manitoba,Business
Laurentian University,Commerce and Administration
University of Windsor,Commerce
Memorial University of Newfoundland,Commerce
Trinity Western University,Commerce
University of Winnipeg,Economics and Finance
Trinity Western University,Economics
Brock University,Economics
Cape Breton University,Economics
Thompson Rivers University,Economics
McGill University ,Economics
Kwantlen Polytechnic University,Entrepreneurial Leadership
Simon Fraser University,Entrepreneurship and Innovation
University of Manitoba,Entrepreneurship and Small & Medium Business
St. Francis Xavier University,Entrepreneurship
Brock University,Entrepreneurship
McGill University ,Entrepreneurship
University of Regina,Entrepreneurship
St. Francis Xavier University,Entrepreneurship
Dalhousie University,Entrepreneurship
McGill University ,Finance
Thompson Rivers University,Finance
Memorial University of Newfoundland,Finance
University of Alberta,Finance
Trinity Western University,Finance
University of British Columbia - Vancouver Campus,Finance
Cape Breton University,Finance
St. Francis Xavier University,Finance
University of Northern British Columbia,Finance
Simon Fraser University,Finance
University of Regina,Finance
University of Manitoba,Finance
Mount Royal University,Finance
St. Francis Xavier University,Finance
University of Waterloo,Financial Management
Seneca College,Financial Services Management
University of Northern British Columbia,General Business
Memorial University of Newfoundland,General
Royal Roads University,Global Tourism Management
Georgian College  ,Golf Course Management
McGill University ,Honours Accounting
St. Clair College - Windsor Campus,Honours Bachelor of Business Administration (Information Communication Technology) B699
Sheridan College,Honours Bachelor of Business Administration - Accounting
Sheridan College,Honours Bachelor of Business Administration - Finance 
Sheridan College,Honours Bachelor of Business Administration - Human Resources Management
Sheridan College,Honours Bachelor of Business Administration - Marketing Management
Sheridan College,Honours Bachelor of Business Administration - Supply Chain Management
George Brown College,Honours Bachelor of Commerce (Accounting)
George Brown College,Honours Bachelor of Commerce (Financial Services)
McGill University ,Honours Economics / Accounting
McGill University ,Honours Economics / Finance
McGill University ,Honours Economics
Camosun College - Interurban Campus,Human Resource Management and Leadership
University of Manitoba,Human Resources Management
Lakehead University,Human Resources Management
University of Alberta,Human Resources Management
University of Regina,Human Resources Management
Kwantlen Polytechnic University,Human Resources Management
Simon Fraser University,Human Resources Management
Thompson Rivers University,Human Resources Management
Seneca College,Human Resources Strategy and Technology
Cape Breton University,Human Resources
Wilfrid Laurier University,Human Resources
Memorial University of Newfoundland,Human Resources
University of the Fraser Valley,Human Resources
University of Winnipeg,Human Resources
Mount Royal University,Human Resources
Brock University,Information Systems
St. Francis Xavier University,Information Technology
St. Francis Xavier University,Information Technology
Wilfrid Laurier University,Insurance and Risk Management
Seneca College,International Accounting and Finance
St. Francis Xavier University,International Buisness/ Affairs
St. Francis Xavier University,International Buisness/Affairs
Conestoga College,International Business Management
University of Winnipeg,International Business
Brock University,International Business
Thompson Rivers University,International Business
Mount Royal University,International Business
University of Regina,International Business
University of Manitoba,International Business
McGill University ,International Business
Trinity Western University,International Business
University of Northern British Columbia,International Business
Simon Fraser University,International Business
Dalhousie University,International Food Business
Royal Roads University,International Hotel Management
McGill University ,International Management - Canadian Studies
McGill University ,International Management - East Asian Cultural Studies
McGill University ,"International Management, Specialization in Latin America and the Caribbean"
McGill University ,"International Management, Specialization in United States"
McGill University ,"International Management, Specialization in Western Europe (France, Germany, Italy, or Spain)"
University of Alberta,Japan/Chinese/German Studies
McGill University ,Labour-Management Relations
Cape Breton University,Legal Studies
University of Manitoba,Logistics and Supply Chain Management
Mount Royal University,Major in Accounting
University of Alberta,Management Analysis
Huron at Western University,Management and Organizational Studies
University of Manitoba,Management Information Systems
Simon Fraser University,Management Information Systems
University of Alberta,Management Information Systems
University of Calgary,Management Information Systems
Memorial University of Newfoundland,Management Science
McGill University ,Management Science
Simon Fraser University,Management Science
University of Regina,Management
St. Francis Xavier University,Management
Trinity Western University,Management
University of Winnipeg,Management
St. Francis Xavier University,Management
Kwantlen Polytechnic University,Marketing Management
Langara College,Marketing Management
McGill University ,Marketing
University of Winnipeg,Marketing
Camosun College - Interurban Campus,Marketing
University of Manitoba,Marketing
Mount Royal University,Marketing
St. Francis Xavier University,Marketing
University of Alberta,Marketing
University of the Fraser Valley,Marketing
Simon Fraser University,Marketing
Trinity Western University,Marketing
Cape Breton University,Marketing
Memorial University of Newfoundland,Marketing
Lakehead University,Marketing
University of Northern British Columbia,Marketing
Wilfrid Laurier University,Marketing
University of Regina,Marketing
Thompson Rivers University,Marketing
St. Francis Xavier University,Marketing
McGill University ,Mathematics
Wilfrid Laurier University,Mathematics
Wilfrid Laurier University,Operations Management / Quantitative Business Analysis
McGill University ,Operations Management
University of Calgary,Operations Management
Brock University,Operations Management
University of British Columbia - Okanagan Campus,Organizational Behaviour
McGill University ,Organizational Behaviours and Human Resources Management
Trinity Western University,Personnel & Industrial Relations
McGill University ,Psychology
University of Waterloo,Public Accounting (Chartered Accounting)
Brock University,Public Administration
University of Alberta,Retailing and Services
Memorial University of Newfoundland,Small Business and Entrepreneurship
Mount Royal University,Social Innovation and Non-profit Studies
University of Alberta,Spanish American Studies
McGill University / Faculty of Management,Strategic Management
Wilfrid Laurier University,Supply Chain Management
University of Calgary,Supply Chain Management
Mount Royal University,Supply Chain Management
Wilfrid Laurier University,Technology Management
Concordia University of Montreal,Accountancy
Toronto Metropolitan University (formerly Ryerson University) ,Accounting (AF001)
University of Guelph,Accounting
University of Ottawa,Accounting
Dalhousie University,Accounting
Carleton University,Accounting
University of British Columbia - Vancouver Campus,Accounting
Ontario Tech University,Accounting
University of Saskatchewan,Accounting
Saint Mary's University,Accounting
York University,Accounting
Humber College,Accounting
Algonquin College of Applied Arts and Technology (Ottawa),Bachelor of Commerce - Supply Chain Management
University of British Columbia - Vancouver Campus,Business & Computer Science
University of Calgary,Business Accounting
University of Alberta,Business Administration
Toronto Metropolitan University (formerly Ryerson University) ,Business Technology Management (IT001)
University of Ottawa,Business Technology Management
University of British Columbia - Vancouver Campus,Business Technology Management
Concordia University of Montreal,Business Technology Management
University of Calgary,Business Technology Management
University of Saskatchewan,Business
Saint Mary's University,CIS
Mount Allison University,Commerce
University of Ottawa,Commerce
University of Victoria,Commerce
Memorial University of Newfoundland,Computer Information Systems
McGill University ,Computer Information Systems
Humber College,Digital Business Management
Humber College,Digitial Business Management
University of Ottawa,E-Business
Toronto Metropolitan University (formerly Ryerson University) ,Economics and Management Science (BM001)
Saint Mary's University,Economics
University of Calgary,Energy Management
University of Calgary,Entrepreneurship and Innovation
Toronto Metropolitan University (formerly Ryerson University) ,Entrepreneurship and Strategy (BM001)
University of Ottawa,Entrepreneurship
University of British Columbia - Vancouver Campus,Entrepreneurship
Carleton University,Entrepreneurship
University of Victoria,Entrepreneurship
Humber College,Fashion Management
Toronto Metropolitan University (formerly Ryerson University) ,Finance (AF001)
Dalhousie University,Finance
Carleton University,Finance
Concordia University of Montreal,Finance
University of Ottawa,Finance
University of Calgary,Finance
University of British Columbia - Vancouver Campus,Finance
Humber College,Finance
York University,Finance
University of Saskatchewan,Finance
Saint Mary's University,Finance
University of Guelph,Food and Agricultural Business
University of British Columbia - Vancouver Campus,General Business Management
University of Calgary,General Management
Carleton University,General Studies
Saint Mary's University,Global Business Management
Toronto Metropolitan University (formerly Ryerson University) ,Global Management Studies (BM001)
University of British Columbia - Vancouver Campus,Global Supply Chain & Logistics Management
University of Guelph,"Government, Economics and Management"
University of Ottawa,Healthcare Analytics
Humber College,Healthcare Management
Fanshawe College,Honours Bachelor of Commerce - Accounting
Fanshawe College,Honours Bachelor of Commerce - Digital Marketing
Fanshawe College,Honours Bachelor of Commerce - Management
McMaster University,Honours Bachelor of Commerce with Internship (12 months)
McMaster University,Honours Bachelor of Commerce with Internship (16 months)
Toronto Metropolitan University (formerly Ryerson University) ,Hospitality & Tourism Management (HT001)
University of Guelph,Hospitality & Tourism Management
Humber College,Hospitality and Tourism Management 
Saint Mary's University,Human Resource Management and Industrial Relations
Toronto Metropolitan University (formerly Ryerson University) ,Human Resource Management and Organizational Behaviour (BM001)
Humber College,Human Resource Management
University of Calgary,Human Resources and Organizational Behaviour
University of Ottawa,Human Resources Management
Concordia University of Montreal,Human Resources Management
University of Saskatchewan,Human Resources
Carleton University,Information Systems
Ontario Tech University,Information Technology - Technology Management
York University,Information Technology
Humber College,International Buisness
Carleton University,International Business
University of Calgary,International Business
Dalhousie University,International Business
University of Alberta,International Business
Carleton University,International Business
University of Victoria,International Business
Concordia University of Montreal,International Business
Humber College,International Business
Humber College,International Business
University of Ottawa,International Management
Toronto Metropolitan University (formerly Ryerson University) ,Law and Business (BM001)
University of Guelph,Management Economics and Finance
Humber College,Management Studies
Humber College,Management Studies
York University,Management
University of Saskatchewan,Management
Saint Mary's University,Management
University of Ottawa,Management
University of Guelph,Management
Carleton University,Management
Dalhousie University,Managing People and Organizations
Dalhousie University,Marketing Logistics
Toronto Metropolitan University (formerly Ryerson University) ,Marketing Management (BM001)
University of Guelph,Marketing Management
Seneca College,Marketing Management
Dalhousie University,Marketing Management
University of Ottawa,Marketing
Saint Mary's University,Marketing
Ontario Tech University,Marketing
University of Saskatchewan,Marketing
York University,Marketing
Humber College,Marketing
Carleton University,Marketing
University of British Columbia - Vancouver Campus,Marketing
University of Calgary,Marketing
Concordia University of Montreal,Marketing
University of British Columbia - Vancouver Campus,Operations and Logistics
University of Saskatchewan,Operations Management
Ontario Tech University,Organizational Behaviour and Human Resources Management
University of British Columbia - Vancouver Campus,Organizational Behaviour and Human Resources
University of Calgary,Petroleum Land Management
University of Guelph,Real Estate 
Toronto Metropolitan University (formerly Ryerson University) ,Real Estate Management (BM001)
University of British Columbia - Vancouver Campus,Real Estate
Toronto Metropolitan University (formerly Ryerson University) ,Retail Management (RL001)
University of Calgary,Risk Management and Insurance
University of Calgary,Risk Management Insurance and Finance
University of Victoria,Service Management
Saint Mary's University,Small Business and Entrepreneurship
University of Guelph,Sport & Event Management
Humber College,Supply Chain Management
Carleton University,Supply Chain Management
Humber College,Supply Chain Management
Concordia University of Montreal,Supply Chain Operations Management
University of Calgary,Tourism and Hospitality Management
University of Calgary,Tourism/Marketing
Mount Royal University,Broadcast Media Studies
MacEwan University,Communication Studies
Brock University,Communications - Policy
Brock University,Communications - Policy
Mount Royal University,Information Design
Mount Royal University,Journalism
University of Sudbury,Public Communication
University of Sudbury,Public Communication
Humber College,Public Relations
Mount Royal University,Public Relations
Acadia University,Community Development
Dalhousie University,Applied Computer Science / Informatics
Thompson Rivers University,Applied Computer Science
University of the Fraser Valley,Bachelor of Computer Information Systems CIS
Conestoga College,Bachelor of Computer Science
Algonquin College of Applied Arts and Technology (Ottawa),Bachelor of Technology (Business Systems Development) (Honours)
Algonquin College of Applied Arts and Technology (Ottawa),Bachelor of Technology (Digital Health) (Honours)
University of Waterloo,Bioinformatics (Computer Science)
Queen's University,Biomedical Computing
Queen's University,Cognitive Science 
Centennial College,Computer and Communication
Concordia University of Montreal,Computer Applications and Computation Arts
Concordia University of Montreal,Computer Applications
Concordia University of Montreal,Computer Games
University of New Brunswick - Fredericton Campus,Computer Information Systems
University of British Columbia - Okanagan Campus,Computer Science 
Carleton University,Computer Science 
University of Prince Edward Island,Computer Science 
Laurentian University,Computer Science 
Acadia University,Computer Science 
St. Francis Xavier University,Computer Science 
Brock University,Computer Science 
University of Saskatchewan,Computer Science 
University of British Columbia - Vancouver Campus,Computer Science 
Queen's University,Computer Science 
Western University,Computer Science 
University of New Brunswick - Fredericton Campus,Computer Science 
University of Ottawa,Computer Science 
University of Regina,Computer Science 
University of Guelph,Computer Science 
University of Windsor,Computer Science 
University of Waterloo,Computer Science (Options in Business and Digital Hardware)
University of Waterloo,"Computer Science (Options in Business, Digital Hardware and Software Engineering)"
University of Waterloo,Computer Science - Software Engineering
University of New Brunswick - Fredericton Campus,Computer Science - Theory
University of Waterloo,Computer Science / Bioinformatics Option
University of Waterloo,Computer Science / Business Option
University of Waterloo,Computer Science / Computational Fine Arts Option
University of Waterloo,Computer Science / Digital Hardware Option
University of Waterloo,Computer Science / Human-Computer Interaction Option
Trent University - Peterborough Campus,Computer Science
University of Toronto,Computer Science
Trent University - Peterborough Campus,Computer Science
University of Waterloo,Computer Science
University of Windsor,Computer Software Development
Cape Breton University,Computer System Development
Concordia University of Montreal,Computer Systems
Queen's University,Computing & Mathematics
Brock University,Computing and Business
University of Waterloo,Computing and Financial Management
Brock University,Computing and Network Communications
Brock University,Computing and Solid State Device Technology (CAST)
Brock University,Computing and Solid State Device Technology (CAST)
Saint Mary's University,Computing Science
Queen's University,Computing
University of the Fraser Valley,Database Management
Trent University - Peterborough Campus,Financial Science
University of New Brunswick - Fredericton Campus,Geographic Information Systems (GIS)
University of New Brunswick - Fredericton Campus,Hardware Systems
University of New Brunswick - Fredericton Campus,Hardware Systems
Sheridan College,Honours Bachelor of Computer Science (Mobile Computing)
Cape Breton University,Information Management
University of New Brunswick - Fredericton Campus,Information Systems
Concordia University of Montreal,Information Systems
Kwantlen Polytechnic University,Information Technology
University of New Brunswick - Fredericton Campus,Multimedia
University of New Brunswick - Fredericton Campus,Multimedia
University of the Fraser Valley,Network Administration
Cape Breton University,Network Management
University of New Brunswick - Fredericton Campus,Numerical and Statistical Computation (PEP)
University of New Brunswick - Fredericton Campus,Numerical and Statistical Computation
Wilfrid Laurier University,Professional Experience Program (PEP)
University of the Fraser Valley,Programming
Queen's University,Software Design
University of Guelph,Software Engineering
Concordia University of Montreal,Software Systems
University of New Brunswick - Fredericton Campus,Software Systems
University of New Brunswick - Fredericton Campus,Software Systems
Concordia University of Montreal,Web Services and Applications
University of the Fraser Valley,Web
Wilfrid Laurier University,User Experience Design (UX)
Toronto Metropolitan University (formerly Ryerson University) ,Aerospace Engineering
Toronto Metropolitan University (formerly Ryerson University) ,Aerospace Engineering
Concordia University of Montreal,Aerospace Engineering
Carleton University,Aerospace Engineering
Carleton University,Architectural Conservation and Sustainability Engineering
McMaster University,Automation Engineering Technology
Ontario Tech University,Automotive Engineering and Management
Ontario Tech University,Automotive Engineering
Sheridan College,Bachelor of Engineering (Electrical Engineering)
Sheridan College,Bachelor of Engineering (Mechanical Engineering)
Conestoga College,Bachelor of Engineering - Power Systems Engineering
University of Guelph,Biological Engineering
Dalhousie University,Biological Engineering
Carleton University,Biomedical and Electrical Engineering
University of Ottawa,Biomedical and Mechanical Engineering
Carleton University,Biomedical and Mechanical Engineering
Toronto Metropolitan University (formerly Ryerson University) ,Biomedical Engineering
University of Guelph,Biomedical Engineering
University of Victoria,Biomedical Engineering
McGill University ,Bioresource Engineering
University of Manitoba,Biosystems  Engineering 
Concordia University of Montreal,Building Engineering
Conestoga College,Building Systems Engineering (Bachelof of Engineering)
McMaster University,Chemical And Biomedical Engineering
University of Alberta,Chemical Engineering (Computer Process Control)
McMaster University,Chemical Engineering and Bioengineering
McMaster University,Chemical Engineering and Management
McMaster University,Chemical Engineering and Society
University of New Brunswick - Fredericton Campus,Chemical Engineering
Dalhousie University,Chemical Engineering
University of New Brunswick - Saint John Campus,Chemical Engineering
Lakehead University,Chemical Engineering
Laurentian University,Chemical Engineering
University of Alberta,Chemical Engineering
University of Saskatchewan,Chemical Engineering
Toronto Metropolitan University (formerly Ryerson University) ,Chemical Engineering
Western University,Chemical Engineering
McMaster University,Chemical Engineering
Queen's University,Chemical Engineering
Western University,Chemical Engineering
University of Calgary,Chemical Engineering
McGill University ,Chemical Engineering
McMaster University,Civil And Biomedical Engineering
University of Alberta,Civil Engineering (Environmental)
McMaster University,Civil Engineering and Management
McMaster University,Civil Engineering and Society
Western University,Civil Engineering
University of Manitoba,Civil Engineering
York University,Civil Engineering
University of Saskatchewan,Civil Engineering
McMaster University,Civil Engineering
University of Toronto,Civil Engineering
Western University,Civil Engineering
University of Calgary,Civil Engineering
Queen's University,Civil Engineering
Toronto Metropolitan University (formerly Ryerson University) ,Civil Engineering
University of Victoria,Civil Engineering
University of Windsor,Civil Engineering
Carleton University,Civil Engineering
Dalhousie University,Civil Engineering
Concordia University of Montreal,Civil Engineering
Lakehead University,Civil Engineering
University of Alberta,Civil Engineering
University of New Brunswick - Fredericton Campus,Civil Engineering
University of New Brunswick - Saint John Campus,Civil Engineering
Memorial University of Newfoundland,Civil Engineering
McGill University ,Civil Engineering
Carleton University,Communications Engineering
University of Alberta,Computer Engineering (NANO)
McMaster University,Computer Engineering and Management
McMaster University,Computer Engineering and Society
Memorial University of Newfoundland,Computer Engineering
University of Victoria,Computer Engineering
University of New Brunswick - Saint John Campus,Computer Engineering
University of Alberta,Computer Engineering
University of Saskatchewan,Computer Engineering
McMaster University,Computer Engineering
York University,Computer Engineering
Western University,Computer Engineering
University of Guelph,Computer Engineering
University of New Brunswick - Fredericton Campus,Computer Engineering
Concordia University of Montreal,Computer Engineering
Toronto Metropolitan University (formerly Ryerson University) ,Computer Engineering
Queen's University,Computer Engineering
University of Manitoba,Computer Engineering
Western University,Computer Engineering
Carleton University,Computer Systems Engineering
University of Alberta,Computing Engineering (Software)
University of Ottawa,Data Science
University of Alberta,Electrical (Nano-engineering)
McMaster University,Electrical and Biomedical Engineering
Queen's University,Electrical and Computer Engineering Innovation
McGill University ,Electrical and Computer Engineering
Dalhousie University,Electrical and Computer Engineering
McMaster University,Electrical Engineering and Management
Ontario Tech University,Electrical Engineering and Management
McMaster University,Electrical Engineering and Society
McMaster University,Electrical Engineering
University of Alberta,Electrical Engineering
University of Saskatchewan,Electrical Engineering
Ontario Tech University,Electrical Engineering
Western University,Electrical Engineering
York University,Electrical Engineering
University of New Brunswick - Fredericton Campus,Electrical Engineering
Western University,Electrical Engineering
University of Calgary,Electrical Engineering
University of Manitoba,Electrical Engineering
Toronto Metropolitan University (formerly Ryerson University) ,Electrical Engineering
Queen's University,Electrical Engineering
University of Windsor,Electrical Engineering
University of New Brunswick - Saint John Campus,Electrical Engineering
Memorial University of Newfoundland,Electrical Engineering
Concordia University of Montreal,Electrical Engineering
Lakehead University,Electrical Engineering
Carleton University,Electrical Engineering
University of Victoria,Electrical Engineering
British Columbia Institute of Technology (BCIT),Electrical Engineering
Memorial University of Newfoundland,"Electrical Engineering,  Computer and Communications"
University of Regina,Electronic Systems Engineering
University of Calgary,Energy Engineering
University of Toronto,Engineering and Management
Queen's University,Engineering Chemistry
University of Alberta,Engineering Physics (NANO)
McMaster University,Engineering Physics And Biomedical Engineering
McMaster University,Engineering Physics and Management
McMaster University,Engineering Physics and Society
Queen's University,Engineering Physics
McMaster University,Engineering Physics
University of Saskatchewan,Engineering Physics
University of Alberta,Engineering Physics
Carleton University,Engineering Physics
University of Guelph,Engineering Systems and Computing
Carleton University,Environmental Engineering
University of Guelph,Environmental Engineering
Dalhousie University,Environmental Engineering
University of Windsor,Environmental Engineering
University of Saskatchewan,Environmental Engineering
University of Regina,Environmental Systems Engineering
University of New Brunswick - Fredericton Campus,Geodesy/Geomatics Engineering
University of New Brunswick - Fredericton Campus,Geological Engineering
Queen's University,Geological Engineering
University of Saskatchewan,Geological Engineering
University of Calgary,Geomatics Engineering
York University,Geomatics Engineering
Western University,Green Process Engineering
McMaster University,"Health, Engineering Science and Entrepreneurship"
Toronto Metropolitan University (formerly Ryerson University) ,Industrial Engineering
Concordia University of Montreal,Industrial Engineering
Dalhousie University,Industrial Engineering
University of Windsor,Industrial Engineering
University of Regina,Industrial Systems Engineering
Cape Breton University,"Instrumentation, Electronics & Controls"
Western University,Integrated Engineering
Western University,Integrated Engineering
Ontario Tech University,Manufacturing Engineering and Management
Ontario Tech University,Manufacturing Engineering
Cape Breton University,Manufacturing
McMaster University,Materials And Biomedical Engineering
University of Alberta,Materials Engineering (NANO)
McMaster University,Materials Engineering and Management
McMaster University,Materials Engineering and Society
McMaster University,Materials Engineering
University of Alberta,Materials Engineering
McGill University ,Materials Engineering
Dalhousie University,Materials Engineering
Queen's University,Mathematics and Engineering
McMaster University,Mechanical And Biomedical Engineering
University of Alberta,Mechanical Engineering (Biomedical)
University of Windsor,Mechanical Engineering (Materials option)
McMaster University,Mechanical Engineering and Management
Ontario Tech University,Mechanical Engineering and Management
McMaster University,Mechanical Engineering and Society
University of Manitoba,Mechanical Engineering
York University,Mechanical Engineering
University of Saskatchewan,Mechanical Engineering
McMaster University,Mechanical Engineering
Western University,Mechanical Engineering
University of Alberta,Mechanical Engineering
Ontario Tech University,Mechanical Engineering
University of Calgary,Mechanical Engineering
Queen's University,Mechanical Engineering
Western University,Mechanical Engineering
Toronto Metropolitan University (formerly Ryerson University) ,Mechanical Engineering
University of Victoria,Mechanical Engineering
University of New Brunswick - Saint John Campus,Mechanical Engineering
Memorial University of Newfoundland,Mechanical Engineering
Concordia University of Montreal,Mechanical Engineering
University of Victoria,Mechanical Engineering
Dalhousie University,Mechanical Engineering
University of Guelph,Mechanical Engineering
Carleton University,Mechanical Engineering
University of New Brunswick - Fredericton Campus,Mechanical Engineering
Laurentian University,Mechanical Engineering
British Columbia Institute of Technology (BCIT),Mechanical Engineering
McGill University ,Mechanical Engineering
Conestoga College,Mechanical Systems Engineering
Lakehead University,Mechanical
Western University,Mechatronic Systems Engineering
McMaster University,Mechatronics And Biomedical Engineering
McMaster University,Mechatronics and Management
Queen's University,Mechatronics and Robotics Engineering
McMaster University,Mechatronics and Society
Ontario Tech University,Mechatronics Engineering and Management
Ontario Tech University,Mechatronics Engineering
McMaster University,Mechatronics
Dalhousie University,Mineral Resources Engineering
McGill University ,Mining Engineering
Laurentian University,Mining Engineering
University of Alberta,Mining Engineering
Queen's University,Mining Engineering
Ontario Tech University,Nuclear Engineering and Management
Ontario Tech University,Nuclear Engineering
Memorial University of Newfoundland,Ocean and Naval Architecture Engineering
University of Calgary,Oil & Gas Engineering
University of Regina,Petroleum Systems Engineering
Cape Breton University,Petroleum
University of Alberta,Petroleum
Simon Fraser University,Physics
University of the Fraser Valley,Physics/Engineering
McMaster University,Software And Biomedical Engineering
Ontario Tech University,Software Engineering and Management
McMaster University,Software Engineering and Management
McMaster University,Software Engineering and Society
Western University,Software Engineering
York University,Software Engineering
Ontario Tech University,Software Engineering
University of Calgary,Software Engineering
Western University,Software Engineering
Carleton University,Software Engineering
Concordia University of Montreal,Software Engineering
Lakehead University,Software Engineering
McMaster University,Software Engineering
University of Victoria,Software Engineering
McGill University ,Software Engineering
University of Regina,Software Systems Engineering
York University,Space Engineering
Carleton University,Sustainable and Renewable Energy Engineering
University of Guelph,Water Resources Engineering
University of British Columbia - Okanagan Campus,Chemistry/ Environmental Chemistry
University of Waterloo,Climate and Environmental Change
University of Guelph,Ecology
University of Waterloo,Environment and Business
University of Guelph,Environment and Resource Management
University of Waterloo,Environment and Resource Studies
University of Guelph,Environmental Economics & Policy
Simon Fraser University,Environmental Resource Management
University of Guelph,Environmental Sciences
University of the Fraser Valley,Environmental Studies (Natural Science)
University of the Fraser Valley,Environmental Studies
The King's University,Environmental Studies
University of Waterloo,Geography and Environmental Management
University of Waterloo,"Geography, Planning and Geographic Information Systems"
University of Waterloo,Geomatics
Simon Fraser University,Global Environmental Systems
Fanshawe College,Honours Bachelor of Environmental Design and Planning
University of Waterloo,Planning
University of British Columbia - Vancouver Campus,Forest Operations
University of British Columbia - Vancouver Campus,Forest Resources Management
University of Regina,Adapted movement science
University of Regina,Adapted Physical Activity
University of Windsor,Applied Kinesiology
University of Lethbridge,Bachelor of Health Sciences with a major in Aboriginal Health
University of Lethbridge,Bachelor of Health Sciences with a major in Public Health
St. Lawrence College of Applied Arts and Technology,Bachelor of Science in Nursing
Seneca College,Behavioural Psychology
Humber College,BHSc. Workplace Health & Wellness
British Columbia Institute of Technology (BCIT),Biotechnology
McGill University ,Dietetics
British Columbia Institute of Technology (BCIT),Environmental Health and Public Health Inspection
Conestoga College,Environmental Public Health
University of Regina,Fitness/Lifestyle
Dalhousie University,Health Promotion
University of Regina,Health Promotion
Queen's University,Health Sciences
Western University,Health Studies Internship
University of Regina,Health Studies
University of Regina,Health Studies
Sheridan College,"Honours Bachelor of Applied Health Sciences, Athletic Therapy"
Sheridan College,Honours Bachelor of Early Childhood Leadership
Sheridan College,Honours Bachelor of Health Sciences - Kinesiology & Health Promotion
Trinity Western University,Human Kinetics
University of Regina,Human Kinetics
University of Waterloo,Kinesiology 
Western University,Kinesiology Internship
Lakehead University,Kinesiology
Brandon University,Mental Health
University of Calgary,Nursing
